gameID,playerName,date,winningTeam,opposingTeam,assistedPlayerName,distance
376,Dennis Scott,Feb 21 1996,ORL,IND,unassisted,18
377,John Stockton,Jan 8 1996,UTA,MIA,A. Keefe,22
378,Blue Edwards,Jan 5 1996,MEM,GSW,B. Reeves,19
379,Sam Cassell,Dec 30 1995,HOU,DAL,unassisted,26
380,Tony Dumas,Dec 28 1995,DAL,MEM,J. Kidd,12
381,Terrell Brandon,Dec 23 1995,CLE,IND,unassisted,5
382,John Stockton,Dec 21 1995,UTA,CLE,unassisted,24
383,Arvydas Sabonis,Dec 10 1995,POR,HOU,unassisted,7
384,Michael Finley,Nov 25 1995,PHO,LAL,unassisted,14
385,Anfernee Hardaway,Nov 22 1995,ORL,MEM,unassisted,6
386,James Robinson,Nov 21 1995,POR,LAL,A. McKie,23
387,Robert Horry,Nov 15 1995,HOU,TOR,C. Drexler,26
388,Chris King,Nov 5 1995,MEM,LAL,unassisted,0
389,Rik Smits,May 29 1995 p,IND,ORL,D. McKey,14
390,Clyde Drexler,Apr 9 1995,HOU,DEN,unassisted,30
391,Chuck Person,Apr 6 1995,SAS,SAC,S. Elliott,20
392,Michael Jordan,Mar 25 1995,WAS,ATL,unassisted,14
